Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
KANK1	ENSG00000107104.18	18.650	40.314	-1.072	1.44e-62
NCS1	ENSG00000107130.9	11.775	26.479	-1.105	4.96e-46
GLIS3	ENSG00000107249.21	1.310	4.235	-1.180	1.09e-63
PTGDS	ENSG00000107317.11	203.713	630.367	-1.625	5.11e-34
PDLIM1	ENSG00000107438.8	49.648	115.000	-1.196	2.98e-50
GATA3	ENSG00000107485.15	2.775	9.730	-1.507	3.42e-40
RASSF4	ENSG00000107551.20	3.965	14.100	-1.605	3.97e-78
UNC5B	ENSG00000107731.12	3.515	8.250	-1.035	3.48e-37
SFXN3	ENSG00000107819.13	7.715	28.295	-1.749	2.68e-85
SH3PXD2A	ENSG00000107957.16	4.705	14.585	-1.450	2.91e-72
MAP3K8	ENSG00000107968.9	2.440	7.695	-1.338	6.11e-49
KRT23	ENSG00000108244.16	4.120	20.664	-2.081	7.12e-31
RAPGEFL1	ENSG00000108352.11	2.960	12.180	-1.735	4.11e-74
RGS9	ENSG00000108370.15	1.010	3.475	-1.155	2.82e-50
P2RX1	ENSG00000108405.3	1.940	10.500	-1.968	1.19e-71
PIGL	ENSG00000108474.16	9.565	25.549	-1.329	8.72e-48
SYNGR2	ENSG00000108639.7	464.939	170.165	1.445	8.15e-103
KAT2A	ENSG00000108773.10	30.555	75.305	-1.274	2.51e-26
EZH1	ENSG00000108799.12	12.055	31.320	-1.308	2.93e-86
SGCA	ENSG00000108823.15	7.870	25.420	-1.575	9.57e-52
RND2	ENSG00000108830.9	0.750	2.515	-1.006	1.05e-79
LUC7L3	ENSG00000108848.15	59.329	132.238	-1.143	1.24e-58
MPP2	ENSG00000108852.14	1.775	7.175	-1.559	5.67e-89
HLF	ENSG00000108924.13	3.695	9.060	-1.099	2.81e-39
FAM20A	ENSG00000108950.11	1.690	5.004	-1.158	9.43e-49
YWHAE	ENSG00000108953.16	491.244	243.722	1.008	6.79e-64
MAP2K6	ENSG00000108984.13	8.140	3.075	1.165	2.60e-36
WSB1	ENSG00000109046.14	29.280	102.974	-1.780	7.88e-51
MYH3	ENSG00000109063.14	1.300	5.905	-1.586	1.33e-23
TMEM97	ENSG00000109084.13	16.725	5.565	1.433	4.96e-58
PMP22	ENSG00000109099.13	17.945	55.979	-1.589	1.89e-66
RAB34	ENSG00000109113.17	35.395	97.947	-1.443	6.37e-65
TMEM33	ENSG00000109133.12	19.125	8.195	1.130	3.31e-25
GALNT7	ENSG00000109586.11	64.341	21.820	1.518	2.76e-48
SLC2A9	ENSG00000109667.11	2.215	7.460	-1.396	4.02e-75
UGDH	ENSG00000109814.11	53.345	17.210	1.577	1.61e-33
PPARGC1A	ENSG00000109819.8	0.610	2.605	-1.163	1.42e-70
FNBP4	ENSG00000109920.12	23.990	62.743	-1.351	2.14e-47
SC5D	ENSG00000109929.9	85.209	39.560	1.088	5.56e-21
VWA5A	ENSG00000110002.15	5.655	16.820	-1.421	8.44e-64
TRIM3	ENSG00000110171.18	14.585	30.450	-1.013	4.07e-25
SLC35F2	ENSG00000110660.14	27.880	10.770	1.295	4.98e-41
PITPNM1	ENSG00000110697.12	5.850	14.400	-1.169	5.44e-57
TCIRG1	ENSG00000110719.9	30.355	143.250	-2.202	1.22e-59
P3H3	ENSG00000110811.19	12.895	33.620	-1.317	6.61e-52
PRPF40B	ENSG00000110844.13	8.845	29.859	-1.648	7.70e-87
KRT18	ENSG00000111057.10	740.701	260.998	1.501	9.64e-88
TNS2	ENSG00000111077.17	34.825	133.144	-1.905	1.67e-85
GLI1	ENSG00000111087.9	1.350	3.853	-1.046	2.69e-45
PPM1H	ENSG00000111110.11	27.675	8.380	1.612	1.89e-67
TRPV4	ENSG00000111199.10	1.870	5.770	-1.238	2.91e-39
MYL2	ENSG00000111245.14	0.050	1.555	-1.283	5.95e-7
SCNN1A	ENSG00000111319.12	24.040	57.537	-1.225	2.02e-21
OAS2	ENSG00000111335.12	11.380	4.305	1.223	1.80e-19
MGP	ENSG00000111341.9	578.911	1219.141	-1.073	2.97e-18
STX2	ENSG00000111450.13	2.960	7.275	-1.063	2.07e-62
GNB3	ENSG00000111664.10	0.605	10.690	-2.865	3.75e-108
PHC1	ENSG00000111752.10	11.655	33.975	-1.467	3.69e-64
RP11-22B23.1	ENSG00000111788.10	0.600	2.635	-1.184	9.65e-71
FAM184A	ENSG00000111879.18	1.545	4.250	-1.045	2.63e-66
FAM65B	ENSG00000111913.15	1.535	5.755	-1.414	6.23e-31
FHL5	ENSG00000112214.10	0.600	2.235	-1.016	4.32e-52
EYA4	ENSG00000112319.17	0.850	4.655	-1.612	7.74e-91
SOBP	ENSG00000112320.11	3.340	7.830	-1.025	4.06e-30
SLC39A7	ENSG00000112473.16	246.517	110.602	1.149	4.27e-73
GMDS	ENSG00000112699.10	60.545	27.554	1.108	2.04e-44
VEGFA	ENSG00000112715.20	67.144	177.816	-1.392	1.22e-19
LAMA4	ENSG00000112769.18	8.625	26.235	-1.501	9.49e-62
PCDHB2	ENSG00000112852.6	3.725	1.105	1.167	1.83e-23
PAPD7	ENSG00000112941.12	5.620	14.405	-1.218	9.41e-59
THBS4	ENSG00000113296.14	24.405	6.260	1.807	2.57e-32
RASGRF2	ENSG00000113319.11	1.235	3.660	-1.060	9.54e-68
LMNB1	ENSG00000113368.11	5.645	2.195	1.056	8.72e-31
PPWD1	ENSG00000113593.11	10.965	27.320	-1.243	1.97e-59
WWC1	ENSG00000113645.13	50.850	22.765	1.126	8.33e-57
TCERG1	ENSG00000113649.11	18.960	46.696	-1.257	4.08e-45
ERGIC1	ENSG00000113719.15	393.903	125.857	1.638	2.09e-88
PDGFRB	ENSG00000113721.13	14.095	50.364	-1.767	1.02e-41
NPHP3	ENSG00000113971.18	5.850	19.685	-1.594	1.44e-60
PCCB	ENSG00000114054.13	41.044	14.340	1.455	1.57e-72
RBP1	ENSG00000114115.9	15.215	38.005	-1.266	5.70e-47
HYAL1	ENSG00000114378.16	1.170	3.370	-1.010	7.13e-79
PODXL2	ENSG00000114631.10	66.258	10.260	2.579	2.59e-122
PLSCR4	ENSG00000114698.14	4.270	10.275	-1.097	1.17e-50
ZBTB47	ENSG00000114853.13	8.225	20.035	-1.189	6.71e-66
TNNC1	ENSG00000114854.7	2.240	6.540	-1.219	2.48e-9
NKTR	ENSG00000114857.17	13.025	48.150	-1.809	4.38e-47
KANSL3	ENSG00000114982.17	14.690	30.805	-1.019	6.64e-81
KCNIP3	ENSG00000115041.12	2.215	11.295	-1.935	1.46e-111
TFCP2L1	ENSG00000115112.7	2.190	6.764	-1.283	6.26e-27
POMC	ENSG00000115138.10	0.460	2.530	-1.274	1.51e-73
LOXL3	ENSG00000115318.11	1.190	3.660	-1.089	2.40e-65
GALNT3	ENSG00000115339.13	42.945	13.309	1.619	7.51e-46
REG1A	ENSG00000115386.5	0.000	1.495	-1.319	9.44e-49
FN1	ENSG00000115414.18	91.880	191.340	-1.050	1.08e-23
IGFBP5	ENSG00000115461.4	76.341	200.081	-1.378	4.48e-29
OTX1	ENSG00000115507.9	1.960	0.440	1.040	1.90e-32
ST3GAL5	ENSG00000115525.16	3.935	11.649	-1.358	1.94e-52
PLCD4	ENSG00000115556.13	0.990	4.983	-1.588	1.89e-93
WNT6	ENSG00000115596.3	0.380	2.245	-1.233	2.10e-62
IL1RL1	ENSG00000115602.16	0.210	2.055	-1.336	4.84e-79
IL18R1	ENSG00000115604.10	0.625	2.630	-1.160	3.24e-77
SLC9A2	ENSG00000115616.2	6.580	2.064	1.307	3.47e-41
FHL2	ENSG00000115641.18	40.710	92.667	-1.167	6.25e-32
RND3	ENSG00000115963.13	9.875	28.556	-1.442	8.26e-43
EPAS1	ENSG00000116016.13	37.170	91.360	-1.275	1.43e-49
PRRX1	ENSG00000116132.11	10.195	24.885	-1.209	1.28e-33
QSOX1	ENSG00000116260.16	30.260	72.258	-1.229	9.83e-48
ERRFI1	ENSG00000116285.12	19.435	44.149	-1.144	1.72e-18
KIAA1324	ENSG00000116299.16	131.006	48.436	1.417	7.46e-27
GON4L	ENSG00000116580.18	11.185	27.885	-1.245	2.27e-65
FBXO2	ENSG00000116661.9	5.340	14.085	-1.251	1.79e-42
SRSF11	ENSG00000116754.13	64.350	136.787	-1.076	1.16e-39
ZBTB17	ENSG00000116809.11	18.970	41.635	-1.094	6.46e-42
RP11-268J15.5	ENSG00000116883.8	1.475	7.675	-1.809	2.73e-57
NID1	ENSG00000116962.14	7.010	23.685	-1.624	1.10e-54
KCNQ4	ENSG00000117013.14	1.005	3.765	-1.249	1.68e-85
UAP1	ENSG00000117143.13	98.110	40.360	1.261	1.27e-50
GBP1	ENSG00000117228.9	7.150	19.320	-1.318	7.01e-37
ID3	ENSG00000117318.8	51.283	157.640	-1.601	2.17e-50
PRPF3	ENSG00000117360.12	21.235	58.630	-1.423	5.27e-50
TSPAN1	ENSG00000117472.9	879.322	210.583	2.057	7.22e-65
HSD11B1	ENSG00000117594.9	2.730	15.525	-2.147	3.27e-69
RSRP1	ENSG00000117616.17	61.396	130.797	-1.079	2.39e-13
SLC35A3	ENSG00000117620.12	19.650	9.025	1.043	3.81e-22
TNNT2	ENSG00000118194.18	0.545	2.705	-1.262	2.38e-45
NRP2	ENSG00000118257.16	4.330	11.180	-1.192	9.13e-45
USP35	ENSG00000118369.12	1.980	5.690	-1.167	1.52e-72
SGIP1	ENSG00000118473.21	1.450	5.210	-1.342	1.07e-41
PLAGL1	ENSG00000118495.18	4.995	23.129	-2.009	1.27e-77
SGK1	ENSG00000118515.11	22.250	71.034	-1.631	1.36e-17
TCF21	ENSG00000118526.6	3.965	9.880	-1.132	1.17e-37
PMFBP1	ENSG00000118557.15	0.520	2.645	-1.262	6.19e-38
RPN2	ENSG00000118705.16	272.676	123.361	1.138	2.60e-59
RARRES1	ENSG00000118849.9	10.760	42.927	-1.901	9.74e-30
PHF19	ENSG00000119403.13	9.010	24.590	-1.354	3.59e-79
PGF	ENSG00000119630.13	2.580	11.589	-1.814	7.00e-85
IFI27L2	ENSG00000119632.3	15.410	38.625	-1.272	3.17e-42
TGFB3	ENSG00000119699.7	18.435	63.100	-1.722	2.12e-37
SUPT7L	ENSG00000119760.15	14.950	31.765	-1.039	2.37e-65
KLHL29	ENSG00000119771.14	2.830	8.915	-1.372	4.27e-78
EPCAM	ENSG00000119888.10	225.791	34.126	2.691	1.25e-104
SLC17A5	ENSG00000119899.12	22.665	8.395	1.333	1.08e-39
PPP1R3C	ENSG00000119938.8	3.780	10.415	-1.256	1.12e-42
KCNIP2	ENSG00000120049.18	0.495	4.050	-1.756	1.23e-87
SFRP5	ENSG00000120057.4	0.180	2.514	-1.574	6.69e-64
HOXB3	ENSG00000120093.11	1.460	7.385	-1.769	6.77e-79
LRP11	ENSG00000120256.9	36.875	16.665	1.100	8.92e-40
MSANTD2	ENSG00000120458.9	3.315	11.825	-1.572	6.57e-70
SIL1	ENSG00000120725.12	94.369	44.424	1.070	1.61e-59
MYOT	ENSG00000120729.9	0.700	4.185	-1.609	4.51e-42
GLT8D2	ENSG00000120820.12	4.475	10.310	-1.047	1.29e-39
TNFRSF10B	ENSG00000120889.12	10.435	21.935	-1.004	1.40e-48
LYPLA1	ENSG00000120992.17	53.070	25.375	1.036	2.04e-31
RDH10	ENSG00000121039.9	6.430	15.345	-1.137	1.84e-34
TBX2	ENSG00000121068.13	4.695	21.495	-1.982	1.97e-81
TBX4	ENSG00000121075.9	0.400	3.700	-1.747	2.92e-34
TSHZ3	ENSG00000121297.6	3.565	10.705	-1.358	2.68e-69
KCNJ8	ENSG00000121361.3	3.840	10.908	-1.299	4.55e-55
POPDC2	ENSG00000121577.13	7.950	22.983	-1.422	2.89e-51
PILRB	ENSG00000121716.18	14.555	62.819	-2.037	1.58e-32
FABP3	ENSG00000121769.7	19.530	42.203	-1.073	3.12e-23
LDB3	ENSG00000122367.19	3.545	15.510	-1.861	3.17e-49
ODF2L	ENSG00000122417.15	9.280	20.849	-1.088	3.15e-47
NPY	ENSG00000122585.7	967.957	238.872	2.014	1.76e-7
POLM	ENSG00000122678.14	9.630	23.064	-1.179	6.45e-66
TWIST1	ENSG00000122691.12	6.480	2.629	1.043	5.17e-20
ZWINT	ENSG00000122952.16	7.065	2.960	1.026	1.33e-35
RBM19	ENSG00000122965.10	10.590	22.775	-1.037	1.66e-51
NECAB1	ENSG00000123119.11	0.730	3.145	-1.261	8.91e-97
PRDX4	ENSG00000123131.12	153.282	52.995	1.515	1.25e-82
NLN	ENSG00000123213.22	6.945	2.850	1.045	5.04e-36
ITIH5	ENSG00000123243.14	8.130	21.201	-1.282	1.36e-43
MMP19	ENSG00000123342.15	1.545	5.680	-1.392	1.32e-43
NR4A1	ENSG00000123358.19	149.893	331.243	-1.139	4.31e-14
PDE1B	ENSG00000123360.11	0.610	3.310	-1.421	2.71e-92
PLP1	ENSG00000123560.13	1.220	9.074	-2.182	1.69e-70
RAB9B	ENSG00000123570.3	1.050	3.585	-1.161	1.38e-60
G0S2	ENSG00000123689.5	5.065	16.225	-1.506	9.49e-62
PLA2G12A	ENSG00000123739.10	39.431	17.074	1.162	2.25e-38
INHA	ENSG00000123999.4	0.440	1.990	-1.054	1.25e-49
SLC12A4	ENSG00000124067.16	16.475	51.330	-1.582	3.72e-80
PLCG1	ENSG00000124181.14	29.364	81.156	-1.436	7.08e-47
TOX2	ENSG00000124191.17	3.985	9.475	-1.071	1.47e-26
PTGIS	ENSG00000124212.5	5.455	13.885	-1.205	7.96e-37
STX16	ENSG00000124222.21	16.919	54.179	-1.623	9.29e-64
PPP4R1L	ENSG00000124224.16	1.080	4.775	-1.473	1.68e-101
PMEPA1	ENSG00000124225.15	215.470	73.840	1.532	2.17e-60
SEMG1	ENSG00000124233.11	0.070	1.424	-1.180	2.75e-20
HIF3A	ENSG00000124440.15	1.185	18.549	-3.161	3.35e-117
PRICKLE4	ENSG00000124593.14	6.175	18.104	-1.413	4.30e-51
SPDEF	ENSG00000124664.10	441.462	153.160	1.521	2.43e-65
SOX4	ENSG00000124766.5	21.240	7.955	1.312	8.51e-54
GLO1	ENSG00000124767.6	218.258	78.237	1.468	4.31e-43
SSR1	ENSG00000124783.12	58.250	27.604	1.051	2.73e-28
RAB17	ENSG00000124839.12	28.809	10.580	1.364	1.14e-60
TMTC4	ENSG00000125247.15	18.925	6.885	1.337	8.68e-54
TM9SF2	ENSG00000125304.8	108.225	48.679	1.137	2.58e-33
PTGER2	ENSG00000125384.6	2.805	6.665	-1.010	8.83e-31
GGA3	ENSG00000125447.16	11.055	27.679	-1.250	1.69e-65
PPP1R12C	ENSG00000125503.12	46.226	154.129	-1.716	7.40e-91
GRIA3	ENSG00000125675.17	0.320	1.715	-1.040	2.45e-36
TRIP10	ENSG00000125733.17	23.125	90.984	-1.931	1.14e-110
FOSB	ENSG00000125740.13	21.195	9.206	1.121	5.61e-5
TGM3	ENSG00000125780.11	3.535	0.430	1.665	5.88e-44
FLRT3	ENSG00000125848.9	3.820	9.005	-1.054	4.27e-14
ID1	ENSG00000125968.8	38.239	142.898	-1.875	4.29e-43
KLC1	ENSG00000126214.20	40.645	88.707	-1.107	3.09e-66
XRCC3	ENSG00000126215.13	4.540	11.605	-1.186	2.64e-63
F10	ENSG00000126218.11	4.255	10.360	-1.112	3.12e-35
FFAR2	ENSG00000126262.4	5.950	0.990	1.804	1.82e-55
NR1D1	ENSG00000126368.5	5.675	20.572	-1.692	2.06e-65
RRAS	ENSG00000126458.3	62.534	140.482	-1.155	6.95e-64
GLIS2	ENSG00000126603.8	5.010	15.674	-1.472	5.44e-71
RHOJ	ENSG00000126785.12	2.990	7.850	-1.149	7.97e-55
L3HYPDH	ENSG00000126790.11	8.515	22.595	-1.310	3.10e-36
PLEKHG3	ENSG00000126822.15	7.450	18.950	-1.239	1.60e-81
TMEM35	ENSG00000126950.7	3.405	9.539	-1.259	5.09e-20
MASP1	ENSG00000127241.16	6.905	23.561	-1.636	1.35e-29
TSPAN8	ENSG00000127324.8	127.450	54.528	1.210	2.95e-20
RAB3IP	ENSG00000127328.21	37.755	17.724	1.049	2.58e-63
SIN3B	ENSG00000127511.9	17.019	56.759	-1.680	1.03e-79
SLC35E1	ENSG00000127526.13	43.415	20.160	1.070	4.38e-64
KLF2	ENSG00000127528.5	11.685	26.719	-1.128	6.82e-23
PKMYT1	ENSG00000127564.16	6.030	2.500	1.006	1.29e-29
GNG11	ENSG00000127920.5	6.025	13.295	-1.025	2.43e-52
SHFM1	ENSG00000127922.9	247.613	121.040	1.027	6.52e-63
STEAP4	ENSG00000127954.12	62.928	18.780	1.692	1.19e-25
PMS2P3	ENSG00000127957.16	3.485	8.915	-1.145	6.18e-38
SRD5A3	ENSG00000128039.10	17.415	8.190	1.003	1.40e-62
PAICS	ENSG00000128050.8	52.254	24.100	1.085	9.59e-63
KDR	ENSG00000128052.8	4.425	10.405	-1.072	2.14e-30
TUBGCP6	ENSG00000128159.11	16.660	45.708	-1.403	2.44e-47
POM121L9P	ENSG00000128262.8	0.130	2.070	-1.442	7.54e-92
GNAZ	ENSG00000128266.8	2.855	7.430	-1.129	8.22e-56
KRT17	ENSG00000128422.15	73.345	154.835	-1.068	4.31e-9
RNF112	ENSG00000128482.15	0.835	7.405	-2.195	1.62e-91
FLNC	ENSG00000128591.15	22.305	59.885	-1.385	1.16e-25
HOXD9	ENSG00000128709.11	3.110	22.825	-2.535	1.98e-87
HOXD10	ENSG00000128710.5	2.545	17.000	-2.344	1.51e-75
HOXD11	ENSG00000128713.12	1.705	9.495	-1.956	7.09e-61
HOXD13	ENSG00000128714.5	2.050	9.910	-1.839	4.60e-55
PALLD	ENSG00000129116.17	58.484	121.477	-1.042	4.23e-32
SOX15	ENSG00000129194.7	2.570	10.070	-1.633	7.05e-87
RIPK3	ENSG00000129465.15	1.080	4.600	-1.429	3.65e-84
FOXA1	ENSG00000129514.5	217.692	79.809	1.436	2.25e-61
FGF13	ENSG00000129682.13	25.165	11.300	1.089	3.92e-32
STARD8	ENSG00000130052.13	1.745	7.865	-1.691	1.00e-85
FAM155B	ENSG00000130054.4	4.080	1.210	1.201	2.93e-49
RPL36	ENSG00000130255.12	2285.429	1130.503	1.015	3.54e-82
USHBP1	ENSG00000130307.11	1.025	3.335	-1.098	4.23e-63
STK33	ENSG00000130413.15	2.150	6.295	-1.212	7.88e-59
GDF15	ENSG00000130513.6	325.970	66.061	2.286	2.01e-50
TRPM4	ENSG00000130529.15	218.538	74.630	1.537	4.18e-65
TNNT3	ENSG00000130595.16	0.270	2.340	-1.395	6.67e-24
H19	ENSG00000130600.15	3.945	29.495	-2.625	2.10e-34
ZNF337	ENSG00000130684.13	7.850	23.685	-1.480	3.00e-69
GATA5	ENSG00000130700.6	0.560	3.290	-1.459	9.10e-56
LAMA5	ENSG00000130702.13	43.680	179.277	-2.012	1.04e-71
SMPDL3B	ENSG00000130768.14	17.865	2.930	2.263	8.87e-102
PNCK	ENSG00000130822.15	6.345	25.595	-1.856	1.90e-67
HSD17B3	ENSG00000130948.9	0.545	2.599	-1.220	7.52e-34
RGN	ENSG00000130988.12	3.930	14.275	-1.632	3.65e-75
SYNE1	ENSG00000131018.22	10.910	28.889	-1.327	5.50e-47
HIGD1B	ENSG00000131097.6	2.875	8.235	-1.253	1.45e-44
GALNT15	ENSG00000131386.17	0.430	1.930	-1.035	1.72e-61
SLC6A6	ENSG00000131389.16	2.495	6.715	-1.142	3.44e-57
LRRC4B	ENSG00000131409.12	0.450	1.935	-1.017	7.54e-25
PDLIM4	ENSG00000131435.12	21.970	52.596	-1.222	3.19e-44
GFPT2	ENSG00000131459.12	2.735	10.355	-1.604	1.75e-73
MAP1B	ENSG00000131711.14	6.955	14.944	-1.003	6.62e-32
TNS4	ENSG00000131746.12	4.935	31.743	-2.464	1.46e-46
TOP2A	ENSG00000131747.14	3.540	0.990	1.190	5.67e-36
PPP1R1B	ENSG00000131771.13	181.659	85.455	1.079	3.00e-10
MCCC2	ENSG00000131844.15	115.844	38.660	1.559	3.05e-32
RHPN2	ENSG00000131941.7	51.460	23.955	1.072	3.31e-36
SPATA6	ENSG00000132122.11	1.880	5.420	-1.156	5.55e-62
SLC6A11	ENSG00000132164.9	1.980	0.430	1.059	1.25e-35
NUP210	ENSG00000132182.11	12.205	5.470	1.029	5.60e-39
TRIM22	ENSG00000132274.15	13.605	43.554	-1.609	4.26e-51
IQCA1	ENSG00000132321.16	0.600	2.360	-1.070	4.29e-80
SERPINF1	ENSG00000132386.10	67.409	258.361	-1.923	2.66e-67
PNISR	ENSG00000132424.14	30.380	128.559	-2.046	2.91e-64
ITGB4	ENSG00000132470.13	21.180	70.362	-1.686	1.27e-49
TRIM47	ENSG00000132481.6	11.280	26.129	-1.144	1.88e-51
ZRANB2	ENSG00000132485.12	29.805	65.855	-1.118	1.20e-48
XAF1	ENSG00000132530.16	4.845	23.111	-2.044	3.66e-55
MATN2	ENSG00000132561.13	36.146	76.399	-1.059	7.24e-28
REEP2	ENSG00000132563.15	3.150	9.400	-1.325	8.39e-63
MTSS1L	ENSG00000132613.14	17.295	38.206	-1.100	4.05e-44
SNAP25	ENSG00000132639.12	1.045	5.745	-1.722	1.97e-91
KIAA0907	ENSG00000132680.10	16.020	43.546	-1.388	4.15e-34
HAPLN2	ENSG00000132702.12	0.945	5.000	-1.625	9.88e-81
IGHMBP2	ENSG00000132740.8	10.330	22.750	-1.068	1.10e-49
MUTYH	ENSG00000132781.17	9.740	25.945	-1.327	3.00e-74
LPIN3	ENSG00000132793.11	4.795	25.659	-2.202	8.76e-72
RBM38	ENSG00000132819.16	11.165	27.720	-1.239	4.44e-68
VSTM2L	ENSG00000132821.11	46.066	10.535	2.029	3.62e-55
LGR6	ENSG00000133067.17	0.590	4.160	-1.698	8.29e-62
SPG20	ENSG00000133104.12	14.415	33.261	-1.152	2.40e-45
TRPC4	ENSG00000133107.14	1.295	4.210	-1.183	6.60e-62
PRAM1	ENSG00000133246.11	1.340	4.665	-1.276	1.06e-49
SUV420H2	ENSG00000133247.13	6.420	13.864	-1.002	6.83e-27
MYH11	ENSG00000133392.16	415.138	1108.428	-1.415	5.14e-24
GSTT2B	ENSG00000133433.10	14.470	32.310	-1.106	1.26e-8
KRBA1	ENSG00000133619.17	3.560	9.720	-1.233	2.82e-54
ZNF767P	ENSG00000133624.13	5.755	22.675	-1.809	2.35e-61
TMEM254	ENSG00000133678.13	60.708	27.315	1.124	1.01e-44
LYVE1	ENSG00000133800.8	0.630	4.870	-1.849	5.21e-88
ZFC3H1	ENSG00000133858.15	9.310	24.280	-1.294	2.11e-47
MEIS2	ENSG00000134138.19	11.480	45.660	-1.903	4.52e-58
GSTM1	ENSG00000134184.12	4.694	47.161	-3.080	2.96e-8
GSTM5	ENSG00000134201.10	6.000	20.963	-1.650	3.33e-65
VAV3	ENSG00000134215.15	1.485	4.065	-1.027	1.28e-34
WNT2B	ENSG00000134245.17	1.380	4.045	-1.084	7.50e-42
TRIM45	ENSG00000134253.9	2.720	6.795	-1.067	2.80e-58
LPIN1	ENSG00000134324.11	4.585	14.319	-1.456	1.38e-88
FST	ENSG00000134363.11	3.855	9.395	-1.098	2.30e-32
NAV1	ENSG00000134369.15	2.460	5.920	-1.000	2.34e-41
ERN2	ENSG00000134398.12	0.400	2.535	-1.336	1.28e-34
RERG	ENSG00000134533.6	5.690	13.320	-1.098	1.05e-51
LRP4	ENSG00000134569.9	1.840	4.905	-1.056	9.38e-59
FOLH1B	ENSG00000134612.11	2.525	0.475	1.257	9.28e-16
FHOD3	ENSG00000134775.15	10.275	27.090	-1.317	2.41e-45
SLC43A3	ENSG00000134802.17	5.160	14.305	-1.313	1.68e-55
FADS2	ENSG00000134824.13	32.139	73.574	-1.170	3.52e-12
PDGFRA	ENSG00000134853.11	2.810	10.544	-1.599	1.67e-48
STT3A	ENSG00000134910.12	138.006	59.085	1.210	6.92e-53
GOLM1	ENSG00000135052.16	482.956	48.630	3.286	1.37e-105
PSAT1	ENSG00000135069.13	19.980	6.935	1.403	3.92e-48
NT5E	ENSG00000135318.11	3.535	8.585	-1.080	5.27e-49
ITGA7	ENSG00000135424.15	11.410	56.020	-2.200	1.84e-76
RDH5	ENSG00000135437.9	2.660	13.344	-1.971	1.08e-82
PPP1R1A	ENSG00000135447.16	1.865	6.873	-1.458	2.41e-40
FAIM2	ENSG00000135472.8	3.630	8.970	-1.107	5.77e-36
PAN2	ENSG00000135473.14	13.930	63.678	-2.115	1.66e-67
KRT7	ENSG00000135480.14	23.985	66.258	-1.429	1.17e-15
SLC26A10	ENSG00000135502.16	0.905	16.444	-3.195	3.10e-91
MAP7	ENSG00000135525.18	35.245	13.617	1.310	3.67e-45
PKIB	ENSG00000135549.14	15.380	5.345	1.368	1.12e-39
MICAL1	ENSG00000135596.17	14.115	46.835	-1.662	1.67e-51
KIAA0513	ENSG00000135709.12	3.645	8.645	-1.054	1.88e-45
FHOD1	ENSG00000135723.13	12.220	27.990	-1.133	1.68e-28
KIAA1614	ENSG00000135835.10	0.950	3.820	-1.306	4.64e-91
TTLL4	ENSG00000135912.10	10.975	24.148	-1.070	1.09e-51
VILL	ENSG00000136059.14	6.515	17.735	-1.318	1.48e-45
PHF11	ENSG00000136147.16	17.990	48.584	-1.385	1.25e-84
SPRY2	ENSG00000136158.10	9.030	20.428	-1.095	3.35e-60
LCP1	ENSG00000136167.13	132.931	64.226	1.038	6.97e-24
KDELR2	ENSG00000136240.9	177.810	82.458	1.099	1.21e-73
NACAD	ENSG00000136274.8	1.155	4.035	-1.224	1.61e-84
MTHFS	ENSG00000136371.9	63.390	30.609	1.026	1.36e-38
SCN7A	ENSG00000136546.13	1.390	5.755	-1.499	1.38e-61
GYPC	ENSG00000136732.14	16.340	38.740	-1.197	8.45e-50
ST6GALNAC4	ENSG00000136840.18	4.610	14.295	-1.447	2.09e-86
IL11RA	ENSG00000137070.17	10.410	32.682	-1.562	2.12e-75
SPAG8	ENSG00000137098.13	1.320	3.670	-1.009	4.71e-51
TJAP1	ENSG00000137221.14	16.030	33.719	-1.028	2.69e-65
TUBB2A	ENSG00000137267.5	58.347	19.800	1.513	1.96e-45
FOXF2	ENSG00000137273.3	1.765	5.560	-1.246	1.40e-27
IER3	ENSG00000137331.11	19.350	41.662	-1.068	6.58e-23
TLR2	ENSG00000137462.6	1.140	3.523	-1.080	1.45e-55
LRRC32	ENSG00000137507.11	11.020	23.990	-1.056	7.25e-30
MMP7	ENSG00000137673.8	58.761	24.569	1.225	2.80e-10
TRIM29	ENSG00000137699.16	24.630	101.641	-2.002	3.84e-32
FXYD6	ENSG00000137726.15	18.970	66.006	-1.746	6.35e-62
MAPKBP1	ENSG00000137802.13	3.595	12.670	-1.573	1.24e-87
PARP6	ENSG00000137817.16	16.815	78.140	-2.151	2.90e-71
SMAD6	ENSG00000137834.14	3.290	7.695	-1.019	1.87e-53
SEMA6D	ENSG00000137872.15	0.675	4.150	-1.620	2.57e-105
SPTBN5	ENSG00000137877.9	0.340	1.770	-1.048	4.75e-68
MYOF	ENSG00000138119.16	13.950	37.061	-1.348	1.29e-46
PLCE1	ENSG00000138193.14	1.105	3.650	-1.143	8.43e-71
RBP4	ENSG00000138207.12	1.150	4.360	-1.318	9.62e-37
GPR87	ENSG00000138271.5	1.810	6.175	-1.352	1.92e-33
IDH1	ENSG00000138413.13	208.491	83.725	1.306	4.15e-36
OLA1	ENSG00000138430.15	82.675	38.775	1.073	1.91e-54
FAM117B	ENSG00000138439.11	10.320	4.525	1.035	4.78e-38
SHF	ENSG00000138606.19	4.020	9.415	-1.053	1.93e-73
FGF2	ENSG00000138685.12	1.450	4.665	-1.209	4.10e-63
